"rfmo","flag","lon","lat","year","effort_t_hooks","catch_tot_mt","catch_tot_n","catch_bet_mt","catch_bet_n","catch_alb_mt","catch_alb_n","catch_yft_mt","catch_yft_n"
"iattc","TWN",-137.5,-42.5,2006,286.3,70.51,6681,0.94,24,69.53,6655,0.04,2
"iattc","VUT",-137.5,-42.5,2009,48.6,41.89,5034,0,0,41.89,5034,0,0
"iattc","VUT",-137.5,-42.5,2012,21.75,4.39,563,0,0,4.39,563,0,0
"iattc","KOR",-132.5,-42.5,1982,29.45,0,1540,0,0,0,1540,0,0
"iattc","KOR",-132.5,-42.5,1984,14.259,0,337,0,0,0,337,0,0
"iattc","KOR",-132.5,-42.5,1985,66.457,0,2216,0,0,0,2216,0,0
"iattc","KOR",-132.5,-42.5,1986,238.37,0,2480,0,0,0,2480,0,0
"iattc","KOR",-132.5,-42.5,1989,21.07,2.43,316,0,0,2.43,316,0,0
"iattc","TWN",-132.5,-42.5,1992,521.719,298.44,24526,0,0,298.44,24526,0,0
"iattc","TWN",-132.5,-42.5,2002,548.037,22.39,1123,1.22,53,20.07,1041,1.1,29
"iattc","TWN",-132.5,-42.5,2003,356.657,87.34,4833,24.18,684,54.93,3842,8.23,307
"iattc","TWN",-132.5,-42.5,2004,273.286,106.4,10955,3.35,109,101.14,10766,1.91,80
"iattc","TWN",-132.5,-42.5,2005,62.718,18.84,2019,1.22,35,17.21,1973,0.41,11
"iattc","TWN",-132.5,-42.5,2006,57.86,12.72,1160,0.06,3,12.66,1157,0,0
"iattc","VUT",-132.5,-42.5,2009,66,27.26,3445,0,0,27.26,3445,0,0
"iattc","VUT",-132.5,-42.5,2012,30.6,20.03,1237,0.85,34,18.8,1184,0.38,19
"iattc","CHN",-132.5,-42.5,2013,26.048,18.75,1227,0.45,17,18,1200,0.3,10
"iattc","KOR",-127.5,-42.5,1982,16.8,0,163,0,0,0,163,0,0
"iattc","KOR",-127.5,-42.5,1986,7.13,0,29,0,0,0,29,0,0
"iattc","TWN",-127.5,-42.5,1992,22.388,12.55,1018,0,0,12.55,1018,0,0
"iattc","TWN",-127.5,-42.5,2002,157.124,216.95,6929,118.42,3138,60.58,2926,37.95,865
"iattc","TWN",-127.5,-42.5,2003,268.542,60.57,2641,4.98,131,53.3,2435,2.29,75
"iattc","TWN",-127.5,-42.5,2004,233.629,97.74,10258,2.67,79,94.02,10133,1.05,46
"iattc","TWN",-127.5,-42.5,2005,362.731,134.07,15387,3.36,74,130.71,15313,0,0
"iattc","TWN",-127.5,-42.5,2006,57.2,9.83,1064,0.58,16,9.23,1047,0.02,1
"iattc","VUT",-127.5,-42.5,2007,11.3,0.57,56,0,0,0.57,56,0,0
"iattc","VUT",-127.5,-42.5,2010,6,1.54,151,0,0,1.54,151,0,0
