"rfmo","lon","lat","year","effort_set","effort_day","catch_tot","catch_skj","catch_alb","catch_bet","catch_yft"
"wcpfc",176.5,-35.5,2005,20.04,20.04,419.939,419.939,0,0,0
"wcpfc",176.5,-35.5,2006,13,13,228,228,0,0,0
"wcpfc",176.5,-35.5,2007,46.46,46.46,1685.529,1685.529,0,0,0
"wcpfc",176.5,-35.5,2008,18,18,1151.8,1151.8,0,0,0
"wcpfc",176.5,-35.5,2010,10,10,387,387,0,0,0
"wcpfc",176.5,-35.5,2011,33,33,1076,1076,0,0,0
"wcpfc",176.5,-35.5,2012,20,20,562,562,0,0,0
"wcpfc",176.5,-35.5,2014,4,4,156,156,0,0,0
"wcpfc",176.5,-35.5,2015,30.25,30.25,1911.727,1911.727,0,0,0
"wcpfc",176.5,-35.5,2016,23,23,733,733,0,0,0
"wcpfc",176.5,-35.5,2017,16,16,691,691,0,0,0
"wcpfc",176.5,-35.5,2018,4.08,4.08,211.026,211.026,0,0,0
"wcpfc",177.5,-35.5,1990,11,11,262,262,0,0,0
"wcpfc",177.5,-35.5,1991,7,7,255,255,0,0,0
"wcpfc",177.5,-35.5,2002,16.91,16.91,755.293,755.293,0,0,0
"wcpfc",177.5,-35.5,2005,14.03,14.03,688.238,688.238,0,0,0
"wcpfc",177.5,-35.5,2007,26.55,26.55,2042.321,2042.321,0,0,0
"wcpfc",177.5,-35.5,2014,4,4,137,137,0,0,0
"wcpfc",177.5,-35.5,2016,5,5,143,143,0,0,0
"iccat",-4.5,-34.5,1996,0,29,3.874,0,3.874,0,0
"iccat",3.5,-34.5,1996,0,29,3.987,0,3.987,0,0
"iccat",19.5,-34.5,1979,0,0,38,0,0,0,38
"iccat",19.5,-34.5,1980,0,0,13,0,0,0,13
"wcpfc",151.5,-34.5,1995,58.26,39.76,2043,2043,0,0,0
"wcpfc",151.5,-34.5,1996,30.96,17.69,406.864,406.864,0,0,0
"wcpfc",151.5,-34.5,2000,9,9,12,12,0,0,0
"wcpfc",172.5,-34.5,2000,17.42,23.49,939.553,839.427,0,0,100.126
"wcpfc",172.5,-34.5,2013,21,19,1852.2,1852.2,0,0,0
"wcpfc",173.5,-34.5,1998,3.47,3.47,119.06,119.06,0,0,0
"wcpfc",174.5,-34.5,1990,48,48,1494.7,1494.7,0,0,0
"wcpfc",174.5,-34.5,1992,4,4,52,52,0,0,0
"wcpfc",174.5,-34.5,1993,9.32,9.32,328.209,328.209,0,0,0
"wcpfc",174.5,-34.5,1995,5.97,5.97,256.757,256.757,0,0,0
"wcpfc",174.5,-34.5,1997,57.5,57.5,2717.474,2717.474,0,0,0
"wcpfc",174.5,-34.5,1998,15.03,15.03,602.466,602.466,0,0,0
"wcpfc",174.5,-34.5,1999,14.31,14.31,320.221,320.221,0,0,0
"wcpfc",174.5,-34.5,2001,8.72,8.72,87.204,87.204,0,0,0
"wcpfc",174.5,-34.5,2004,17.76,17.76,345.011,345.011,0,0,0
"wcpfc",174.5,-34.5,2005,49.12,49.12,845.691,845.691,0,0,0
"wcpfc",174.5,-34.5,2007,16.59,16.59,572.903,572.903,0,0,0
"wcpfc",174.5,-34.5,2010,6,6,150,150,0,0,0
"wcpfc",174.5,-34.5,2012,19,19,1160.7,1160.7,0,0,0
"wcpfc",174.5,-34.5,2013,14,12.83,1378.6,1378.6,0,0,0
"wcpfc",174.5,-34.5,2014,9,10,170.1,170.1,0,0,0
"wcpfc",174.5,-34.5,2015,40.67,40.67,1063.809,1063.809,0,0,0
"wcpfc",174.5,-34.5,2017,49,49,1513.2,1513.1,0,0,0.1
"wcpfc",174.5,-34.5,2018,19.37,19.37,460.384,460.384,0,0,0
"wcpfc",174.5,-34.5,2019,15.58,15.58,824.267,824.267,0,0,0
"wcpfc",175.5,-34.5,1995,11.94,11.94,482.465,482.465,0,0,0
"wcpfc",175.5,-34.5,1996,3.3,3.3,60.631,60.631,0,0,0
"wcpfc",175.5,-34.5,1997,4.34,4.34,170.317,170.317,0,0,0
"wcpfc",175.5,-34.5,2012,6,6,107,107,0,0,0
"wcpfc",176.5,-34.5,1995,4.78,4.78,213.765,213.765,0,0,0
"iccat",-51.5,-33.5,2022,4,0,3,3,0,0,0
"iccat",-50.5,-33.5,2022,18,0,24.2,23,0,0,1.2
"iccat",-50.5,-33.5,2023,2,0,20,20,0,0,0
"iccat",4.5,-33.5,1996,0,24,3.171,0,3.171,0,0
"iccat",18.5,-33.5,1972,1,0,2.8,0,0,0,2.8
"iccat",18.5,-33.5,1980,0,0,1,0,1,0,0
"iccat",19.5,-33.5,1972,14,0,54.3,2.6,0,0,51.7
"iccat",19.5,-33.5,1973,7,0,36.7,0,0,0,36.7
"iccat",19.5,-33.5,1974,0,0,27.7,0,0,0,27.7
"iccat",19.5,-33.5,1975,0,0,7,0,0,0,7
"iccat",19.5,-33.5,1977,0,80,59,35,0,0,24
"iccat",19.5,-33.5,1978,0,192,214,87,0,0,127
"iccat",19.5,-33.5,1979,0,0,209,10,2,0,197
"iccat",19.5,-33.5,1980,0,0,25,10,6,0,9
"iccat",19.5,-33.5,1981,0,0,75,22,1,0,52
"wcpfc",172.5,-33.5,2000,24.15,26.59,971.402,971.402,0,0,0
"iccat",-51.5,-32.5,2022,4,0,35,35,0,0,0
"iccat",-50.5,-32.5,2007,4,4,33,33,0,0,0
"iccat",-50.5,-32.5,2022,18,0,237.339,237.226,0,0,0.113
"iccat",-50.5,-32.5,2023,6,0,127,125,0,0,2
"iccat",-49.5,-32.5,2022,5,0,3,3,0,0,0
"iccat",-49.5,-32.5,2023,3,0,29,28,0,0,1
"iccat",-2.5,-32.5,1995,0,18,1.017,0,1.017,0,0
"iccat",-2.5,-32.5,1996,0,22,2.892,0,2.892,0,0
"iccat",-50.5,-31.5,2007,3,3,23.1,23.1,0,0,0
"iccat",-49.5,-31.5,2007,9,8,18.2,18.2,0,0,0
"iccat",-49.5,-31.5,2022,13,0,35.618,33.918,0,0,1.7
"iccat",-49.5,-31.5,2023,3,0,3,3,0,0,0
"iccat",-48.5,-31.5,2022,13,0,20,20,0,0,0
"iccat",1.5,-31.5,1995,0,26,3.247,0,3.247,0,0
"iccat",2.5,-31.5,1996,0,27,3.212,0,3.212,0,0
"iccat",-49.5,-30.5,2022,13,0,1.3,0,0,0,1.3
"iccat",-49.5,-30.5,2023,8,0,22,22,0,0,0
"iccat",-49.5,-30.5,2024,0,0,2.434,2.434,0,0,0
"iccat",-48.5,-30.5,2007,7,7,47.2,47.2,0,0,0
